stars,profile_name,profile_link,profile_image,title,date,style,verified,comment,voting,review_images,ASIN
4.0 out of 5 stars,Jean Morin,/gp/profile/amzn1.account.AFMSZFDRL3NESMWMNQWFFTCCF2QA,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",This makeup made my skin nearly flawless,"Reviewed in the United States on November 12, 2015",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,,"Shipping was extremely quick. Was packaged well. It looked like it might have been pumped once but I'm ok with that. I tried it out with a bit of concern that the color would be too dark, but it blended really easily, has a lovely mousse texture, and the primer in it really does a great job smoothing my skin! I'm 33 with tiny lines starting, and pores getting larger. This makeup made my skin nearly flawless.",Helpful,0,B001126Y1K
5.0 out of 5 stars,Ashton,/gp/profile/amzn1.account.AGDZX2WTWEXUTKRZ4N3FLBAQICIQ,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Perfect Foundation,"Reviewed in the United States on March 18, 2017",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,,Nice coverage. Not too thick. I have oily skin and this works well. Universal color for medium skin but does have warm undertones.,Helpful,0,B001126Y1K
5.0 out of 5 stars,esa_pepsi,/gp/profile/amzn1.account.AHU3CWQCMDUQUETSTZP6AGFW36VQ,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",LOVE IT!!!,"Reviewed in the United States on January 10, 2013",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,,"I used MAC before I tried this one, but I will keep buying this one! I love it, it blends in perfectly and it is not heavy. Just apply a little bit and you are set to go, looks and feels as you have nothing on. I LOVE IT! It's a great foundation better than MAC for me.",Helpful,0,B001126Y1K
5.0 out of 5 stars,Karen Khan,/gp/profile/amzn1.account.AHSQP2Y3KFJFY4V7J6P2NVHT7BBA,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",I love it,"Reviewed in the United States on August 24, 2015",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,,"It really blends will and doesn't feel heavy and cakey  the color matching is perfect..  It's hard to find a good make up,  but this really is good.",Helpful,0,B001126Y1K
2.0 out of 5 stars,Southwest Woman,/gp/profile/amzn1.account.AHQD4Z4K7G6FLSEZFZFPGWFPXS6A,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Rubs off,"Reviewed in the United States on November 22, 2011",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,,The skin tone matching system is wonderful. Just wish the makeup was. I found it would look patchy and rub off if I touched my face I'd leave makeup prints on what ever I was reading.I wish L'Oreal would wise up and use this great skin tone matching system for every makeup type they produce. I've been trying to get a good match with their souffle makeup and have bought 3 failures so far.,"3 people found this helpful
      
          Helpful",0,B001126Y1K
5.0 out of 5 stars,Hailey Joe,/gp/profile/amzn1.account.AHU2SMYTXW6GAO2HVU2E73OA63DA,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Awesome,"Reviewed in the United States on July 3, 2014",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,,"Cheap, huge array of color, long lasting, good coverage. I would say this is the best drug store foundation out there. Its even somewhat water resistant.",Helpful,0,B001126Y1K
2.0 out of 5 stars,Suneel Sharma,/gp/profile/amzn1.account.AGVYCYVB6P5PC4ZFBRQTDZZMOZXA,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",t like it. its completly different,"Reviewed in the United States on August 25, 2016",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,,Didn;t like it. its completly different shade,Helpful,0,B001126Y1K
3.0 out of 5 stars,E. Evans,/gp/profile/amzn1.account.AHE5LJFGXVVAKQVKCZU2PDIG4CUA,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars/default._CR0,0,1024,1024_SX48_.png",Three Stars,"Reviewed in the United States on December 10, 2017",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,,I have sensitive skin... it felt really uncomfortable on me.,Helpful,0,B001126Y1K
1.0 out of 5 stars,Marta Castañeda,/gp/profile/amzn1.account.AFKUJ66LAON55C4ES2NULPTAPHIA,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Marta castaneda,"Reviewed in the United States on November 18, 2018",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,,Lo pedí y estuve esperando luego me llego un correo que lo cancelaron y no me devolvieron mi dinero mal servicio..,Helpful,0,B001126Y1K
1.0 out of 5 stars,Amy,/gp/profile/amzn1.account.AHT766OGO42R45B2AKP23WRV7WIQ,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars/default._CR0,0,1024,1024_SX48_.png",Worst foundation.,"Reviewed in the United States on March 18, 2018",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,,This foundation is very streaky when applied with a foundation brush. It comes out as very cakey on the skin. Would not recommend this product.,Helpful,0,B001126Y1K
